country_co,country_na,mean,month
EG,Bir Tawil,5.711024824367844e-05,2019-03
SU,Halaib Triangle,5.720866810171728e-05,2019-03
ER,Eritrea,0.0001085123787177,2019-03
ET,Ethiopia,0.0001335755903672,2019-03
DJ,Djibouti,9.508526839827863e-05,2019-03
SO,Somalia,9.665718249854272e-05,2019-03
OD,South Sudan,0.0002010677658949,2019-03
UU,Abyei Area,0.0001784861659185,2019-03
KE,Kenya,0.0001153093844323,2019-03
UG,Uganda,0.0001734131780661,2019-03
TZ,Tanzania,0.0001310756124059,2019-03
MZ,Mozambique,0.0001098610211622,2019-03
CN,Comoros,0.0001078887696317,2019-03
MA,Madagascar,0.0001006645181287,2019-03
CV,Cabo Verde,5.354838720204194e-05,2019-03
WI,Western Sahara,5.17655959999956e-05,2019-03
MR,Mauritania,6.467656534938776e-05,2019-03
MO,Morocco,5.959236285901246e-05,2019-03
SP,Spain (Canary Is),4.596674642540245e-05,2019-03
PO,Portugal (Madeira Is),3.3934749825301395e-05,2019-03
SP,Spain (Africa),6.060585044521593e-05,2019-03
AG,Algeria,5.4058401371889965e-05,2019-03
ML,Mali,0.0001003180132838,2019-03
UV,Burkina Faso,0.0001752299984572,2019-03
TO,Togo,0.0002192804246643,2019-03
GH,Ghana,0.0002183071373609,2019-03
IV,Cote d'Ivoire,0.0002285837584817,2019-03
GV,Guinea,0.000267462104972,2019-03
SG,Senegal,0.0001469844010084,2019-03
GA,"Gambia, The",0.0001630006899208,2019-03
PU,Guinea-Bissau,0.0002431446712077,2019-03
SL,Sierra Leone,0.0003143820209931,2019-03
LI,Liberia,0.000224858992736,2019-03
BN,Benin,0.0002224696228793,2019-03
NI,Nigeria,0.0002046523345788,2019-03
CM,Cameroon,0.0002096624057238,2019-03
EK,Equatorial Guinea,0.0001695894269324,2019-03
TP,Sao Tome & Principe,0.0001475880347744,2019-03
GB,Gabon,0.0001783912427708,2019-03
CF,Rep of the Congo,0.0002075925814149,2019-03
CT,Central African Rep,0.000258667676093,2019-03
CG,Dem Rep of the Congo,0.000206606554942,2019-03
CD,Chad,0.0001163336514819,2019-04
MI,Malawi,0.0001040294216239,2019-04
ZA,Zambia,0.0001161368464051,2019-04
ZI,Zimbabwe,0.0001118392499622,2019-04
BC,Botswana,0.0001182564006364,2019-04
WA,Namibia,0.000107574608868,2019-04
AO,Angola,0.0001431478057446,2019-04
BY,Burundi,0.0001093320853156,2019-04
RW,Rwanda,0.0001191897652817,2019-04
SF,South Africa,9.377757358371058e-05,2019-04
LT,Lesotho,7.155972094791444e-05,2019-04
WZ,Swaziland,0.0001342331393301,2019-04
MF,Mayotte,0.000110949422134,2019-04
NG,Niger,8.742990019219758e-05,2019-04
SU,Sudan,9.759020082573928e-05,2019-04
LY,Libya,5.277076606057925e-05,2019-04
UU,Koualou Area,0.0002075683747927,2019-04
TS,Tunisia,5.697747060179231e-05,2019-04
EG,Egypt,6.274416267634438e-05,2019-04
EG,Bir Tawil,5.934237261702988e-05,2019-04
SU,Halaib Triangle,6.206813447299546e-05,2019-04
ER,Eritrea,0.0001014875131224,2019-04
ET,Ethiopia,0.0001205159176644,2019-04
DJ,Djibouti,9.948044810318272e-05,2019-04
SO,Somalia,8.807200643343131e-05,2019-04
OD,South Sudan,0.0001989290114598,2019-04
UU,Abyei Area,0.0002018631095091,2019-04
KE,Kenya,0.0001113892078819,2019-04
UG,Uganda,0.0001505855627945,2019-04
TZ,Tanzania,0.0001079736030688,2019-04
MZ,Mozambique,8.995462703065842e-05,2019-04
CN,Comoros,8.769174446777707e-05,2019-04
MA,Madagascar,9.651919330376116e-05,2019-04
CV,Cabo Verde,6.712200842513255e-05,2019-04
WI,Western Sahara,4.968533373551384e-05,2019-04
MR,Mauritania,7.157819856161581e-05,2019-04
MO,Morocco,4.799696520407948e-05,2019-04
SP,Spain (Canary Is),3.88789157381385e-05,2019-04
PO,Portugal (Madeira Is),3.207270878905861e-05,2019-04
SP,Spain (Africa),4.566759697076914e-05,2019-04
AG,Algeria,5.316974311019604e-05,2019-04
ML,Mali,0.0001062421981539,2019-04
UV,Burkina Faso,0.0001813603148659,2019-04
TO,Togo,0.0002090748458192,2019-04
GH,Ghana,0.0002017538775946,2019-04
IV,Cote d'Ivoire,0.0001959909005244,2019-04
GV,Guinea,0.0002454175920007,2019-04
SG,Senegal,0.0001436679705697,2019-04
GA,"Gambia, The",0.0001631774230431,2019-04
PU,Guinea-Bissau,0.0002131603691511,2019-04
SL,Sierra Leone,0.000240844158313,2019-04
LI,Liberia,0.0001701567965592,2019-04
BN,Benin,0.0002197498453462,2019-04
NI,Nigeria,0.0002051287305808,2019-04
CM,Cameroon,0.0001766918832267,2019-04
EK,Equatorial Guinea,0.0001357829503478,2019-04
TP,Sao Tome & Principe,0.0001212220230337,2019-04
GB,Gabon,0.0001454087858419,2019-04
CF,Rep of the Congo,0.0001781953294014,2019-04
CT,Central African Rep,0.0002341924546851,2019-04
CG,Dem Rep of the Congo,0.0001882503642411,2019-04
CD,Chad,0.0001372393561403,2019-05
MI,Malawi,9.931217027268746e-05,2019-05
ZA,Zambia,0.0001261964295379,2019-05
ZI,Zimbabwe,0.0001104315704318,2019-05
BC,Botswana,0.0001202514141432,2019-05
WA,Namibia,0.0001199580534486,2019-05
AO,Angola,0.0001815386193071,2019-05
BY,Burundi,9.018306284102396e-05,2019-05
RW,Rwanda,9.74774673550082e-05,2019-05
SF,South Africa,0.0001024946802095,2019-05
LT,Lesotho,9.515477858702968e-05,2019-05
WZ,Swaziland,0.0001304720186109,2019-05
MF,Mayotte,6.50324020678225e-05,2019-05
NG,Niger,0.000111432098096,2019-05
SU,Sudan,0.0001145397104869,2019-05
LY,Libya,6.7802704716509e-05,2019-05
UU,Koualou Area,0.0002117915979696,2019-05
TS,Tunisia,7.59645026047344e-05,2019-05
EG,Egypt,8.138027576895281e-05,2019-05
EG,Bir Tawil,8.070415702984485e-05,2019-05
SU,Halaib Triangle,7.676365399557322e-05,2019-05
ER,Eritrea,0.0001123291291858,2019-05
ET,Ethiopia,0.0001154783738479,2019-05
DJ,Djibouti,0.0001098797985478,2019-05
SO,Somalia,9.70672795864332e-05,2019-05
OD,South Sudan,0.0001821103961563,2019-05
UU,Abyei Area,0.0002104602742481,2019-05
KE,Kenya,9.702794870061964e-05,2019-05
UG,Uganda,0.0001260090491705,2019-05
TZ,Tanzania,8.749726758407651e-05,2019-05
MZ,Mozambique,7.670258449216749e-05,2019-05
CN,Comoros,5.904914693133822e-05,2019-05
MA,Madagascar,8.533416393823542e-05,2019-05
CV,Cabo Verde,6.404059422033683e-05,2019-05
WI,Western Sahara,6.459944828316926e-05,2019-05
MR,Mauritania,8.398765272806712e-05,2019-05
MO,Morocco,8.366800153825115e-05,2019-05
SP,Spain (Canary Is),5.381795516095906e-05,2019-05
PO,Portugal (Madeira Is),4.822014175575122e-05,2019-05
SP,Spain (Africa),8.482191931565686e-05,2019-05
