abbreviati,country_co,country_na,mean,wld_rgn,month
,EG,Bir Tawil,1888.8761990727876,Africa,2021-02
,SU,Halaib Triangle,1897.0686823597443,Africa,2021-02
Erit.,ER,Eritrea,1896.305207070135,Africa,2021-02
Eth.,ET,Ethiopia,1892.164915113131,Africa,2021-02
Dji.,DJ,Djibouti,1905.3349615367868,Africa,2021-02
Som.,SO,Somalia,1900.981815247168,Africa,2021-02
S. Sudan,OD,South Sudan,1897.1039485707404,Africa,2021-02
,UU,Abyei Area,1896.9936960906812,Africa,2021-02
,KE,Kenya,1890.1904970182304,Africa,2021-02
Ug.,UG,Uganda,1922.9393263353957,Africa,2021-02
Tanz.,TZ,Tanzania,1877.2366931845054,Africa,2021-02
Moz.,MZ,Mozambique,1830.2170546731006,Africa,2021-02
Como.,CN,Comoros,,Africa,2021-02
Madag.,MA,Madagascar,1858.1271487517479,Africa,2021-02
C. Ver.,CV,Cabo Verde,,Africa,2021-02
W. Sah.,WI,Western Sahara,1898.9375639580642,Africa,2021-02
Maur.,MR,Mauritania,1892.561957672633,Africa,2021-02
Mor.,MO,Morocco,1888.6600862137852,Africa,2021-02
Sp.,SP,Spain (Canary Is),,Africa,2021-02
Port.,PO,Portugal (Madeira Is),,Africa,2021-02
Sp.,SP,Spain (Africa),,Africa,2021-02
Alg.,AG,Algeria,1887.3693966482276,Africa,2021-02
,ML,Mali,1889.1095214734926,Africa,2021-02
Burk.,UV,Burkina Faso,1900.142931694657,Africa,2021-02
,TO,Togo,1911.7269902680337,Africa,2021-02
,GH,Ghana,1905.241613441763,Africa,2021-02
C. d Iv.,IV,Cote d'Ivoire,1888.1289736757458,Africa,2021-02
Gui.,GV,Guinea,1885.7362574891602,Africa,2021-02
Sen.,SG,Senegal,1901.200892941208,Africa,2021-02
Gam.,GA,"Gambia, The",1900.6134582937216,Africa,2021-02
Gui.-Bis.,PU,Guinea-Bissau,1883.7164731035448,Africa,2021-02
S. Leo.,SL,Sierra Leone,1880.7169854602234,Africa,2021-02
Liber.,LI,Liberia,1870.768826668248,Africa,2021-02
,BN,Benin,1901.2459055802267,Africa,2021-02
Nig.,NI,Nigeria,1905.3892509510436,Africa,2021-02
Camer.,CM,Cameroon,1894.481775110611,Africa,2021-02
Equa. Gui.,EK,Equatorial Guinea,,Africa,2021-02
S. To. & Prin.,TP,Sao Tome & Principe,,Africa,2021-02
,GB,Gabon,1858.0947785075964,Africa,2021-02
Rep. of the Congo,CF,Rep of the Congo,1875.7656562364796,Africa,2021-02
Cen. Afr. Rep.,CT,Central African Rep,1880.9217252619521,Africa,2021-02
Dem. Rep. of the Congo,CG,Dem Rep of the Congo,1872.6782911331313,Africa,2021-02
,CD,Chad,1897.2413048757933,Africa,2021-03
Mal.,MI,Malawi,1850.4143109419617,Africa,2021-03
Zam.,ZA,Zambia,1846.606930773549,Africa,2021-03
Zimb.,ZI,Zimbabwe,1847.9362217853593,Africa,2021-03
Bots.,BC,Botswana,1848.360031221295,Africa,2021-03
Nam.,WA,Namibia,1862.6912613920729,Africa,2021-03
Ang.,AO,Angola,1865.0413620554518,Africa,2021-03
Buru.,BY,Burundi,1885.8492456061663,Africa,2021-03
Rw.,RW,Rwanda,,Africa,2021-03
S. Afr.,SF,South Africa,1836.9763452936397,Africa,2021-03
Leso.,LT,Lesotho,1842.0604150051454,Africa,2021-03
Swaz.,WZ,Swaziland,1833.0863975772368,Africa,2021-03
May.,MF,Mayotte,,Africa,2021-03
,NG,Niger,1902.9096032171663,Africa,2021-03
,SU,Sudan,1896.2051448594932,Africa,2021-03
,LY,Libya,1894.5652683874841,Africa,2021-03
,UU,Koualou Area,1907.5348248044058,Africa,2021-03
Tun.,TS,Tunisia,1895.0461076635133,Africa,2021-03
,EG,Egypt,1895.4364036830539,Africa,2021-03
,EG,Bir Tawil,1895.2424348170493,Africa,2021-03
,SU,Halaib Triangle,1905.209894871698,Africa,2021-03
Erit.,ER,Eritrea,1892.40452642778,Africa,2021-03
Eth.,ET,Ethiopia,1889.806784287025,Africa,2021-03
Dji.,DJ,Djibouti,1900.9882544867542,Africa,2021-03
Som.,SO,Somalia,1897.725531304995,Africa,2021-03
S. Sudan,OD,South Sudan,1901.7114145275768,Africa,2021-03
,UU,Abyei Area,1900.2168685583258,Africa,2021-03
,KE,Kenya,1883.5681182439803,Africa,2021-03
Ug.,UG,Uganda,1888.083202345271,Africa,2021-03
Tanz.,TZ,Tanzania,1867.295303490546,Africa,2021-03
Moz.,MZ,Mozambique,1834.1688109432682,Africa,2021-03
Como.,CN,Comoros,,Africa,2021-03
Madag.,MA,Madagascar,1841.4274186497,Africa,2021-03
C. Ver.,CV,Cabo Verde,,Africa,2021-03
W. Sah.,WI,Western Sahara,1904.9334592380094,Africa,2021-03
Maur.,MR,Mauritania,1897.3291462157517,Africa,2021-03
Mor.,MO,Morocco,1889.5167773383246,Africa,2021-03
Sp.,SP,Spain (Canary Is),,Africa,2021-03
Port.,PO,Portugal (Madeira Is),,Africa,2021-03
Sp.,SP,Spain (Africa),,Africa,2021-03
Alg.,AG,Algeria,1892.4940987365924,Africa,2021-03
,ML,Mali,1900.5366538772835,Africa,2021-03
Burk.,UV,Burkina Faso,1914.3394614291738,Africa,2021-03
,TO,Togo,1905.0276027404705,Africa,2021-03
,GH,Ghana,1912.6532800785608,Africa,2021-03
