abbreviati,country_co,country_na,mean,wld_rgn,month
,SU,Halaib Triangle,5.344587945519112e-05,Africa,2018-09
Erit.,ER,Eritrea,5.175611539260196e-05,Africa,2018-09
Eth.,ET,Ethiopia,4.632583520354401e-05,Africa,2018-09
Dji.,DJ,Djibouti,5.0571896432462265e-05,Africa,2018-09
Som.,SO,Somalia,4.4292895431515884e-05,Africa,2018-09
S. Sudan,OD,South Sudan,4.7221870436365984e-05,Africa,2018-09
,UU,Abyei Area,5.098581355611434e-05,Africa,2018-09
,KE,Kenya,4.72920151850662e-05,Africa,2018-09
Ug.,UG,Uganda,5.0438859833111165e-05,Africa,2018-09
Tanz.,TZ,Tanzania,5.850524147169753e-05,Africa,2018-09
Moz.,MZ,Mozambique,8.97274968015177e-05,Africa,2018-09
Como.,CN,Comoros,4.756951571050687e-05,Africa,2018-09
Madag.,MA,Madagascar,6.143617490377069e-05,Africa,2018-09
C. Ver.,CV,Cabo Verde,4.7188512264144145e-05,Africa,2018-09
W. Sah.,WI,Western Sahara,5.189362387881797e-05,Africa,2018-09
Maur.,MR,Mauritania,5.103486153715765e-05,Africa,2018-09
Mor.,MO,Morocco,6.17487170319033e-05,Africa,2018-09
Sp.,SP,Spain (Canary Is),6.110957574561053e-05,Africa,2018-09
Port.,PO,Portugal (Madeira Is),6.140107544259698e-05,Africa,2018-09
Sp.,SP,Spain (Africa),7.710007537105363e-05,Africa,2018-09
Alg.,AG,Algeria,5.60368496318772e-05,Africa,2018-09
,ML,Mali,5.1447037128216616e-05,Africa,2018-09
Burk.,UV,Burkina Faso,5.091265283297974e-05,Africa,2018-09
,TO,Togo,4.9855146000706936e-05,Africa,2018-09
,GH,Ghana,4.87443997182061e-05,Africa,2018-09
C. d Iv.,IV,Cote d'Ivoire,4.6654745094823335e-05,Africa,2018-09
Gui.,GV,Guinea,4.609251935369643e-05,Africa,2018-09
Sen.,SG,Senegal,5.152002287018515e-05,Africa,2018-09
Gam.,GA,"Gambia, The",5.0453056334621036e-05,Africa,2018-09
Gui.-Bis.,PU,Guinea-Bissau,4.6801074017236494e-05,Africa,2018-09
S. Leo.,SL,Sierra Leone,4.4755296761129194e-05,Africa,2018-09
Liber.,LI,Liberia,4.431695333824746e-05,Africa,2018-09
,BN,Benin,5.027283903757516e-05,Africa,2018-09
Nig.,NI,Nigeria,5.34926202922747e-05,Africa,2018-09
Camer.,CM,Cameroon,4.911119100129287e-05,Africa,2018-09
Equa. Gui.,EK,Equatorial Guinea,4.9494796329345534e-05,Africa,2018-09
S. To. & Prin.,TP,Sao Tome & Principe,4.829678827982821e-05,Africa,2018-09
,GB,Gabon,5.270568520378498e-05,Africa,2018-09
Rep. of the Congo,CF,Rep of the Congo,5.7363283527620055e-05,Africa,2018-09
Cen. Afr. Rep.,CT,Central African Rep,4.799534917384054e-05,Africa,2018-09
Dem. Rep. of the Congo,CG,Dem Rep of the Congo,6.135935330295406e-05,Africa,2018-09
,CD,Chad,4.9524072970184496e-05,Africa,2018-10
Mal.,MI,Malawi,6.794422669822352e-05,Africa,2018-10
Zam.,ZA,Zambia,6.770378130963808e-05,Africa,2018-10
Zimb.,ZI,Zimbabwe,6.618580013316592e-05,Africa,2018-10
Bots.,BC,Botswana,6.85778803131543e-05,Africa,2018-10
Nam.,WA,Namibia,6.669591565309776e-05,Africa,2018-10
Ang.,AO,Angola,6.074654992897371e-05,Africa,2018-10
Buru.,BY,Burundi,5.025540816489261e-05,Africa,2018-10
Rw.,RW,Rwanda,5.023767692765843e-05,Africa,2018-10
S. Afr.,SF,South Africa,7.588148423467138e-05,Africa,2018-10
Leso.,LT,Lesotho,6.623920584490435e-05,Africa,2018-10
Swaz.,WZ,Swaziland,8.67969870335619e-05,Africa,2018-10
May.,MF,Mayotte,4.8555439892590404e-05,Africa,2018-10
,NG,Niger,4.7946213531623994e-05,Africa,2018-10
,SU,Sudan,5.0918890511316166e-05,Africa,2018-10
,LY,Libya,4.960697773419722e-05,Africa,2018-10
,UU,Koualou Area,4.9175816145691105e-05,Africa,2018-10
Tun.,TS,Tunisia,6.136981391616145e-05,Africa,2018-10
,EG,Egypt,5.6855254180416424e-05,Africa,2018-10
,EG,Bir Tawil,4.928949771431049e-05,Africa,2018-10
,SU,Halaib Triangle,4.873761456320773e-05,Africa,2018-10
Erit.,ER,Eritrea,5.0329917057159166e-05,Africa,2018-10
Eth.,ET,Ethiopia,4.569650094926093e-05,Africa,2018-10
Dji.,DJ,Djibouti,4.901025720403698e-05,Africa,2018-10
Som.,SO,Somalia,4.3580169764146296e-05,Africa,2018-10
S. Sudan,OD,South Sudan,5.047733649693078e-05,Africa,2018-10
,UU,Abyei Area,6.0345253048446054e-05,Africa,2018-10
,KE,Kenya,4.6783511016539735e-05,Africa,2018-10
Ug.,UG,Uganda,4.9378985367015326e-05,Africa,2018-10
Tanz.,TZ,Tanzania,5.5652662927973206e-05,Africa,2018-10
Moz.,MZ,Mozambique,6.982981746249552e-05,Africa,2018-10
Como.,CN,Comoros,4.712090047290507e-05,Africa,2018-10
Madag.,MA,Madagascar,6.287453868839285e-05,Africa,2018-10
C. Ver.,CV,Cabo Verde,4.513274789505631e-05,Africa,2018-10
W. Sah.,WI,Western Sahara,4.795641024148235e-05,Africa,2018-10
Maur.,MR,Mauritania,4.623410330305335e-05,Africa,2018-10
Mor.,MO,Morocco,5.829713436039788e-05,Africa,2018-10
Sp.,SP,Spain (Canary Is),5.862454377952474e-05,Africa,2018-10
Port.,PO,Portugal (Madeira Is),5.9218488500760365e-05,Africa,2018-10
Sp.,SP,Spain (Africa),8.588045966729519e-05,Africa,2018-10
Alg.,AG,Algeria,5.219396592232473e-05,Africa,2018-10
,ML,Mali,4.800914120399547e-05,Africa,2018-10
Burk.,UV,Burkina Faso,5.087860560615912e-05,Africa,2018-10
,TO,Togo,5.015944354669381e-05,Africa,2018-10
,GH,Ghana,4.9189244769729367e-05,Africa,2018-10
C. d Iv.,IV,Cote d'Ivoire,4.676871626746292e-05,Africa,2018-10
Gui.,GV,Guinea,4.653653466739831e-05,Africa,2018-10
Sen.,SG,Senegal,5.242753194326617e-05,Africa,2018-10
