abbreviati,country_co,country_na,mean,wld_rgn,month
Gui.,GV,Guinea,0.00022828545265977091,Africa,2019-01
Sen.,SG,Senegal,0.00012038672200359502,Africa,2019-01
Gam.,GA,"Gambia, The",0.0001281746892721687,Africa,2019-01
Gui.-Bis.,PU,Guinea-Bissau,0.00017242500017566295,Africa,2019-01
S. Leo.,SL,Sierra Leone,0.0002616555295064674,Africa,2019-01
Liber.,LI,Liberia,0.00019724592036773485,Africa,2019-01
,BN,Benin,0.00019688716939336126,Africa,2019-01
Nig.,NI,Nigeria,0.0001968416957091275,Africa,2019-01
Camer.,CM,Cameroon,0.00020108297158693544,Africa,2019-01
Equa. Gui.,EK,Equatorial Guinea,0.00015726978243686224,Africa,2019-01
S. To. & Prin.,TP,Sao Tome & Principe,0.00012956142116055585,Africa,2019-01
,GB,Gabon,0.00015748794471812363,Africa,2019-01
Rep. of the Congo,CF,Rep of the Congo,0.00017827128588115818,Africa,2019-01
Cen. Afr. Rep.,CT,Central African Rep,0.0002436942808592862,Africa,2019-01
Dem. Rep. of the Congo,CG,Dem Rep of the Congo,0.00017054404917772264,Africa,2019-01
,CD,Chad,9.96177340521857e-05,Africa,2019-02
Mal.,MI,Malawi,0.00011654160251061126,Africa,2019-02
Zam.,ZA,Zambia,0.00011773990799203446,Africa,2019-02
Zimb.,ZI,Zimbabwe,0.00012902340626016188,Africa,2019-02
Bots.,BC,Botswana,0.00015341138762601259,Africa,2019-02
Nam.,WA,Namibia,0.00012606651814833872,Africa,2019-02
Ang.,AO,Angola,0.00014018554007406392,Africa,2019-02
Buru.,BY,Burundi,0.0001044303093392164,Africa,2019-02
Rw.,RW,Rwanda,0.0001261329803625507,Africa,2019-02
S. Afr.,SF,South Africa,0.00012020489971573284,Africa,2019-02
Leso.,LT,Lesotho,0.0001019367771295679,Africa,2019-02
Swaz.,WZ,Swaziland,0.00013314970350278497,Africa,2019-02
May.,MF,Mayotte,9.205174011251164e-05,Africa,2019-02
,NG,Niger,6.620662967910902e-05,Africa,2019-02
,SU,Sudan,9.22795260538424e-05,Africa,2019-02
,LY,Libya,4.446083234997868e-05,Africa,2019-02
,UU,Koualou Area,0.00015726566212627397,Africa,2019-02
Tun.,TS,Tunisia,6.445587541431651e-05,Africa,2019-02
,EG,Egypt,5.117304840189189e-05,Africa,2019-02
,EG,Bir Tawil,5.92481448877472e-05,Africa,2019-02
,SU,Halaib Triangle,6.407412283458832e-05,Africa,2019-02
Erit.,ER,Eritrea,0.0001008039185799595,Africa,2019-02
Eth.,ET,Ethiopia,0.00012745763004631545,Africa,2019-02
Dji.,DJ,Djibouti,8.287808658171085e-05,Africa,2019-02
Som.,SO,Somalia,8.441353604942278e-05,Africa,2019-02
S. Sudan,OD,South Sudan,0.00019865524864222684,Africa,2019-02
,UU,Abyei Area,0.0001796852493946455,Africa,2019-02
,KE,Kenya,0.0001055442278891076,Africa,2019-02
Ug.,UG,Uganda,0.000177984179878354,Africa,2019-02
Tanz.,TZ,Tanzania,0.00010541997031921021,Africa,2019-02
Moz.,MZ,Mozambique,0.0001126341673452763,Africa,2019-02
Como.,CN,Comoros,9.093646220270929e-05,Africa,2019-02
Madag.,MA,Madagascar,9.9147210775611e-05,Africa,2019-02
C. Ver.,CV,Cabo Verde,5.540078417688451e-05,Africa,2019-02
W. Sah.,WI,Western Sahara,4.9276134841630904e-05,Africa,2019-02
Maur.,MR,Mauritania,5.837174368852338e-05,Africa,2019-02
Mor.,MO,Morocco,6.435410354656946e-05,Africa,2019-02
Sp.,SP,Spain (Canary Is),5.408452941671531e-05,Africa,2019-02
Port.,PO,Portugal (Madeira Is),4.004690910270012e-05,Africa,2019-02
Sp.,SP,Spain (Africa),7.731949300494958e-05,Africa,2019-02
Alg.,AG,Algeria,4.806624999912507e-05,Africa,2019-02
,ML,Mali,8.452595225045996e-05,Africa,2019-02
Burk.,UV,Burkina Faso,0.0001422249039504566,Africa,2019-02
,TO,Togo,0.00022501491915446166,Africa,2019-02
,GH,Ghana,0.0002194954066884083,Africa,2019-02
