country_co,country_na,mean,month
BC,Botswana,5.601788210675428e-05,2018-12
WA,Namibia,5.232636072969965e-05,2018-12
AO,Angola,4.299512059998112e-05,2018-12
BY,Burundi,3.946645347826771e-05,2018-12
RW,Rwanda,4.01085142499753e-05,2018-12
SF,South Africa,6.720010179839336e-05,2018-12
LT,Lesotho,6.116092301482737e-05,2018-12
WZ,Swaziland,7.702909667203007e-05,2018-12
MF,Mayotte,4.248100293238855e-05,2018-12
NG,Niger,4.435256869589518e-05,2018-12
SU,Sudan,4.854476478011762e-05,2018-12
LY,Libya,4.746896205656537e-05,2018-12
UU,Koualou Area,8.42270562756189e-05,2018-12
TS,Tunisia,5.513800473387815e-05,2018-12
EG,Egypt,5.315506925825837e-05,2018-12
EG,Bir Tawil,4.481860604611534e-05,2018-12
SU,Halaib Triangle,4.440444496230935e-05,2018-12
ER,Eritrea,4.759301222794872e-05,2018-12
ET,Ethiopia,4.762264201834424e-05,2018-12
DJ,Djibouti,4.631641690483038e-05,2018-12
SO,Somalia,4.031188163976616e-05,2018-12
OD,South Sudan,8.140902974547494e-05,2018-12
UU,Abyei Area,5.856024586127976e-05,2018-12
KE,Kenya,3.971605223423045e-05,2018-12
UG,Uganda,5.090932006199679e-05,2018-12
TZ,Tanzania,4.046574998249511e-05,2018-12
MZ,Mozambique,4.736022313118723e-05,2018-12
CN,Comoros,4.119288554152194e-05,2018-12
MA,Madagascar,4.97655992794616e-05,2018-12
CV,Cabo Verde,4.551929697530166e-05,2018-12
WI,Western Sahara,4.752391583845944e-05,2018-12
MR,Mauritania,4.609078487292559e-05,2018-12
MO,Morocco,5.125886569752425e-05,2018-12
SP,Spain (Canary Is),5.718409711482692e-05,2018-12
PO,Portugal (Madeira Is),5.523775285183973e-05,2018-12
SP,Spain (Africa),9.255154970289864e-05,2018-12
AG,Algeria,5.059788047395019e-05,2018-12
ML,Mali,4.714639540023268e-05,2018-12
UV,Burkina Faso,5.370290287652431e-05,2018-12
TO,Togo,6.6997749729497e-05,2018-12
GH,Ghana,7.023860047964501e-05,2018-12
IV,Cote d'Ivoire,6.00268774454042e-05,2018-12
GV,Guinea,6.0031730854384094e-05,2018-12
SG,Senegal,5.373721832208728e-05,2018-12
GA,"Gambia, The",5.36337878866238e-05,2018-12
PU,Guinea-Bissau,5.481020114300473e-05,2018-12
SL,Sierra Leone,5.167566838360004e-05,2018-12
LI,Liberia,4.8615965055927615e-05,2018-12
BN,Benin,5.8847005050805295e-05,2018-12
NI,Nigeria,5.98574460021475e-05,2018-12
CM,Cameroon,6.715931876430271e-05,2018-12
EK,Equatorial Guinea,5.601631674787717e-05,2018-12
TP,Sao Tome & Principe,4.921794344167429e-05,2018-12
GB,Gabon,5.601842819704432e-05,2018-12
CF,Rep of the Congo,5.414135717439659e-05,2018-12
CT,Central African Rep,8.714868682394094e-05,2018-12
CG,Dem Rep of the Congo,4.75440219632596e-05,2018-12
CD,Chad,4.710927014892321e-05,2019-01
MI,Malawi,3.809130070520652e-05,2019-01
ZA,Zambia,3.875293736354074e-05,2019-01
ZI,Zimbabwe,4.5791410527015454e-05,2019-01
BC,Botswana,5.383874261081005e-05,2019-01
WA,Namibia,5.063025579625208e-05,2019-01
AO,Angola,4.0260771748970574e-05,2019-01
BY,Burundi,3.682617893760404e-05,2019-01
RW,Rwanda,3.8698824902226666e-05,2019-01
SF,South Africa,6.410944422491164e-05,2019-01
LT,Lesotho,5.917808360784046e-05,2019-01
WZ,Swaziland,6.564297429566745e-05,2019-01
MF,Mayotte,3.804505728911936e-05,2019-01
NG,Niger,4.434610819580591e-05,2019-01
SU,Sudan,4.531604993686826e-05,2019-01
LY,Libya,5.077438635329038e-05,2019-01
UU,Koualou Area,5.509850776913558e-05,2019-01
TS,Tunisia,5.494319827324179e-05,2019-01
EG,Egypt,5.671307579844181e-05,2019-01
EG,Bir Tawil,4.4147825028890775e-05,2019-01
SU,Halaib Triangle,4.370936635173648e-05,2019-01
ER,Eritrea,4.408165498869786e-05,2019-01
ET,Ethiopia,4.6079798292060565e-05,2019-01
DJ,Djibouti,4.210459082003049e-05,2019-01
SO,Somalia,3.807991434831112e-05,2019-01
OD,South Sudan,6.667907379317237e-05,2019-01
UU,Abyei Area,5.442685498652635e-05,2019-01
KE,Kenya,3.8405103711133874e-05,2019-01
UG,Uganda,5.435964495529256e-05,2019-01
TZ,Tanzania,3.721503753136704e-05,2019-01
MZ,Mozambique,4.240298879535192e-05,2019-01
CN,Comoros,3.886584583028017e-05,2019-01
MA,Madagascar,4.254290546862509e-05,2019-01
CV,Cabo Verde,4.650546631064308e-05,2019-01
WI,Western Sahara,4.770505495763158e-05,2019-01
MR,Mauritania,4.776499702509612e-05,2019-01
MO,Morocco,5.055114428559593e-05,2019-01
SP,Spain (Canary Is),5.403740330011659e-05,2019-01
PO,Portugal (Madeira Is),4.813704544940395e-05,2019-01
SP,Spain (Africa),7.999856738890473e-05,2019-01
AG,Algeria,5.104047794699568e-05,2019-01
ML,Mali,4.7318971928250464e-05,2019-01
UV,Burkina Faso,4.8444162682742886e-05,2019-01
TO,Togo,6.238568830005052e-05,2019-01
GH,Ghana,6.493753945187658e-05,2019-01
IV,Cote d'Ivoire,5.058828393328661e-05,2019-01
GV,Guinea,6.199297388742571e-05,2019-01
SG,Senegal,5.072426727564268e-05,2019-01
GA,"Gambia, The",5.068618202379127e-05,2019-01
PU,Guinea-Bissau,5.2088243796149874e-05,2019-01
SL,Sierra Leone,5.704168359727245e-05,2019-01
LI,Liberia,4.414360094218933e-05,2019-01
BN,Benin,5.719741581184507e-05,2019-01
NI,Nigeria,5.942273138836358e-05,2019-01
CM,Cameroon,5.899362190938596e-05,2019-01
EK,Equatorial Guinea,5.098807115218246e-05,2019-01
TP,Sao Tome & Principe,4.694874499703654e-05,2019-01
GB,Gabon,5.255656450608185e-05,2019-01
CF,Rep of the Congo,5.093868790842657e-05,2019-01
CT,Central African Rep,7.820563633006678e-05,2019-01
CG,Dem Rep of the Congo,4.60773095595974e-05,2019-01
CD,Chad,4.813304453737944e-05,2019-02
MI,Malawi,3.809253180510887e-05,2019-02
ZA,Zambia,3.968991201900247e-05,2019-02
ZI,Zimbabwe,4.621485480474312e-05,2019-02
BC,Botswana,4.996764628391402e-05,2019-02
WA,Namibia,4.977135937622497e-05,2019-02
AO,Angola,4.124240013457564e-05,2019-02
BY,Burundi,3.538236457569852e-05,2019-02
RW,Rwanda,3.73277250684545e-05,2019-02
SF,South Africa,6.10194721399902e-05,2019-02
LT,Lesotho,5.538262197543403e-05,2019-02
WZ,Swaziland,6.806172967919734e-05,2019-02
MF,Mayotte,3.497660267401058e-05,2019-02
NG,Niger,4.657028952099638e-05,2019-02
SU,Sudan,4.839578047789997e-05,2019-02
LY,Libya,5.329274957983632e-05,2019-02
UU,Koualou Area,5.311553553186575e-05,2019-02
TS,Tunisia,6.048335606775408e-05,2019-02
EG,Egypt,5.9194028559398576e-05,2019-02
EG,Bir Tawil,4.958647705617948e-05,2019-02
SU,Halaib Triangle,4.939951430130477e-05,2019-02
ER,Eritrea,4.659484344417428e-05,2019-02
ET,Ethiopia,4.5807404866604005e-05,2019-02
DJ,Djibouti,4.506517911116704e-05,2019-02
SO,Somalia,3.843775087330032e-05,2019-02
OD,South Sudan,5.264052266144148e-05,2019-02
UU,Abyei Area,5.42223600852774e-05,2019-02
KE,Kenya,3.796982623082287e-05,2019-02
UG,Uganda,4.591701823739341e-05,2019-02
